A,B,C,D,E,F
1.884185791,80.20085144,494.528,,20.91546822,161.1311798
1.889793515,79.26288605,494.68,,19.38301277,160.6034699
1.89652276,74.8219986,494.832,,22.5915184,160.1736145
1.891912818,72.87892151,494.984,,32.19190979,160.1494293
1.880034089,71.72914124,495.136,,38.49563217,160.1283417
1.879687429,72.01441956,495.288,,43.65748215,160.149292
1.878730774,72.58808899,495.44,,42.23622131,161.2503815
1.867836952,71.28305054,495.592,,39.93356323,162.2144165
1.847232938,69.72143555,495.744,,39.16322327,161.5751038
1.836309433,66.67772675,495.896,,37.80293274,160.5833588
1.845129728,65.89279938,496.048,,36.28553391,159.6243897
1.860144258,66.9282608,496.2,,37.2924881,158.8552246
1.864510536,70.42802429,496.352,,37.34254837,159.0859375
1.860457897,72.56874085,496.504,,38.71650314,159.1155396
1.858977437,71.93222809,496.656,,33.71238709,159.1354065
1.863308668,71.09547424,496.808,,30.34129906,159.4445496
1.879073143,74.25437164,496.96,,29.63158989,159.0914002
1.889781952,77.26652527,497.112,,34.33280945,159.3505096
1.8950212,77.24365997,497.264,,44.43385696,159.9137116
1.881866336,74.07276154,497.416,,58.93719482,160.6822357
1.871852398,72.19868469,497.568,,54.92172241,161.3591614
1.876739383,73.68801117,497.72,,47.02633286,161.1643829
1.887580037,72.74712372,497.872,,36.53207779,160.5857239
1.904245973,70.0386734,498.024,,30.11254883,160.0858917
1.923948526,69.45860291,498.176,,36.19567108,159.8309326
1.920217991,70.17543793,498.328,,56.30366516,160.0414887
1.890530467,69.16938782,498.48,,66.03031921,160.0211945
1.8665241,66.9418869,498.632,,49.00489807,159.7835846
1.863617301,68.77094269,498.784,,38.92090607,159.6377411
1.874032736,71.86476898,498.936,,35.37842178,159.5188599
1.863143206,74.23991394,499.088,,29.56348419,159.7170715
1.851210237,73.41942596,499.24,,26.18919563,159.7897949
1.856627345,74.15774536,499.392,,30.85277557,160.2770844
1.864041925,74.61391449,499.544,,36.39323044,160.4650269
1.869722247,74.09203339,499.696,,44.72164536,160.5048981
1.872092366,73.94429779,499.848,,43.74756241,160.4992828
1.867959619,75.05583191,500,,37.7376709,160.4855804
1.857251525,76.5089798,500.152,,31.72517777,160.362442
1.845531106,73.46416473,500.304,,26.77162552,159.8369904
1.847321391,68.75713348,500.456,,29.25234985,159.2585754
1.853023648,66.21476746,500.608,,31.11192894,159.0455017
1.883259058,67.51963043,500.76,,25.78015518,159.0919647
1.948515534,67.74028015,500.912,,17.59267426,159.3199005
2.033325195,66.24938202,501.064,,17.64110756,159.4956207
2.149213791,65.56374359,501.216,,16.60084534,159.6893768
